district,chiefdom,phu,facility_type,community,population_2023,dp_name,dp_type
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Fulaninahun,90,Mogiba Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Gbangema,80,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Gendema,90,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Jeneh,90,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Kpakpabu,30,Mogiba Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Macca,80,Mogiba Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mogbonda,25,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mogiba,100,Mogiba Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mokambo,120,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Molunya,350,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mongabay,40,Mogiba Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mongagba,80,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mongegbindi,95,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Moryoi,70,Mogiba Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Motoko,40,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Nagbena,250,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Nagbena Junction,15,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Njagbahun,50,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Njagbema,20,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Njala,50,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Patama 2,50,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Pelewahun,300,Mogiba Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Sembehun,80,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Taninahun,900,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Bondayelahun,315,Jimminga Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Farbu,130,Walihun MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Gbardo,122,Walihun MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Jimiminga,230,Jimminga Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Lungi,130,Jimminga Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Manjama,93,Jimminga Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Sahun,60,Jimminga Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Tongie,168,Jimminga Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Walihun,1754,Walihun MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Kanga,500,Yengema MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Komende,196,Yengema MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Kowama,800,Kowama Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Madina,244,Kowama Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Morjajoe,285,Yengema MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Ngeyahun,229,Yengema MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Njorborhun,189,Yengema MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Sembehun,89,Yengema MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Yengema,2313,Yengema MCHP,Fixed
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Barlu,70,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Batiama,80,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Benduma,150,Gbaiima CHC,Fixed
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Bessibu,150,Gbaiima CHC,Fixed
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Borborbu,160,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Dodo,300,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Fagorya,45,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Foya 1,50,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Foya 2,71,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Gangama,40,Gbaiima CHC,Fixed
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Gbaborwobu,75,Gbaiima CHC,Fixed
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Gbaiima Town,1425,Gbaiima CHC,Fixed
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Gbandi,600,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Hiima,200,Gbaiima CHC,Fixed
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Isreal,45,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Kortumahun Kalenkay,100,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Kortumahun Marvie,150,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Kossa,70,Gbaiima CHC,Fixed
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Majihun,150,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Massahun,75,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Mogbesie,230,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Mokebbie,225,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Molambi,60,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Molendeh,250,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Mosua,90,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Ngolala,150,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Niagorehun,110,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Pelewahun,59,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Pujehun,105,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Sembekhun,45,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Senehun,110,Dodo Court Barray,Mobile
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Talia,69,Gbandi Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Bajawo,325,Sembehun Mamagewor MCHP,Fixed
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Balehun,91,Ngoyiahun Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Bongeya,192,Ngoyiahun Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Gbanguma,76,Njabormie Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Kakama,95,Sembehun Mamagewor MCHP,Fixed
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Manjama,145,Njabormie Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Motimoh,52,Njabormie Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Nargbena,141,Njabormie Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Ngoyiahun,150,Ngoyiahun Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Niagorehun,82,Ngoyiahun Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Njabormie,340,Njabormie Court Barray,Mobile
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Sembehun Mamagewor,655,Sembehun Mamagewor MCHP,Fixed
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Bendu,1520,Bendu Court Barray,Outreach
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Buma,531,Bendu Court Barray,Outreach
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Foyama,312,Fulawahun Court Barray,Mobile
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Fulawahun,511,Fulawahun Court Barray,Mobile
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Kandor,2305,Koribondo CHC,Fixed
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Koribondo Town,4620,Koribondo CHC,Fixed
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Kpakuma,428,Bendu Court Barray,Outreach
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Kpulimie,335,Fulawahun Court Barray,Mobile
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Largor,315,Fulawahun Court Barray,Mobile
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Lungi,346,Koribondo CHC,Fixed
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Vaama,98,Fulawahun Court Barray,Mobile
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Bakar,244,Sogorma Court Barray,Outreach
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Blamawui,304,Jomborhun Community Barray,Outreach
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Folu,364,Mano Jaiama CHP,Fixed
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Gbangiema,448,Mano Jaiama CHP,Fixed
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Jomborhun,1489,Jomborhun Community Barray,Outreach
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Kiambay,109,Mano Jaiama CHP,Fixed
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Kpetema,588,Mano Jaiama CHP,Fixed
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Kpomima-Jaiama,899,Sogorma Court Barray,Outreach
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Mano Jaiama,469,Mano Jaiama CHP,Fixed
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Meyama,436,Mano Jaiama CHP,Fixed
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Mile 30,234,Sogorma Court Barray,Outreach
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Ngbeyama,98,Sogorma Court Barray,Outreach
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Ngombu,411,Sogorma Court Barray,Outreach
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Sogorma,668,Sogorma Court Barray,Outreach
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Gbaima,15,Yendema Court Barray,Mobile
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Juhun,445,Juhun Community Barray,Outreach
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Manowo,36,Juhun Community Barray,Outreach
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Ndombu,437,Juhun Community Barray,Outreach
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Nianyahun,450,Nianyahun CHP,Fixed
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Nyeyama,305,Juhun Community Barray,Outreach
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Pelewahun,480,Nianyahun CHP,Fixed
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Samie,500,Nianyahun CHP,Fixed
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Yendema,447,Yendema Court Barray,Mobile
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Yenkain,225,Yendema Court Barray,Mobile
Bo District,Kakua Chiefdom,Bandajuma MCHP,MCHP,,,,
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Bamabara,45,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Baoma Lungibu,600,Fengehun MCHP,Fixed
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Fallu,1600,Fallu Court Barray,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Fengehun,1500,Fengehun MCHP,Fixed
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Gbumbeh,550,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kalia 1,170,Fallu Court Barray,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kalia 2,400,Fallu Court Barray,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kigbai,520,Fengehun MCHP,Fixed
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Koyama,150,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kpetewoma,150,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kpon,250,Fallu Court Barray,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Miselah,50,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Ngiehun,100,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Njagbema,300,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Njaluahun,150,Fengehun MCHP,Fixed
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Pouma,150,Fengehun MCHP,Fixed
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Surgehun,600,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Torkpombu,350,Fengehun MCHP,Fixed
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Wojama,55,Kpetewoma Court Barry,Outreach
Bo District,Kakua Chiefdom,Fullawahun MCHP,MCHP,,,,
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Damboima,250,Gbongboma MCHP,Fixed
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Faala,800,Gbongboma MCHP,Fixed
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Gbongbohun,1250,Gbongboma MCHP,Fixed
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Isreal,100,Largor Coury Barry,Outreach
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Kowama,250,Largor Coury Barry,Outreach
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Kuagebu,350,Kuagebu Court Barry,Outreach
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Largor,600,Largor Coury Barry,Outreach
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Massahun,430,Gbongboma MCHP,Fixed
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Ngiewoma,38,Kuagebu Court Barry,Outreach
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Ngivulahun,250,Kuagebu Court Barry,Outreach
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Ngombeh,230,Kuagebu Court Barry,Outreach
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Sumbaya,480,Largor Coury Barry,Outreach
Bo District,Kakua Chiefdom,Gender CHP,CHP,,,,
Bo District,Kakua Chiefdom,Keindeyella MCHP,MCHP,,,,
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Fabaina,133,Kenyema Court Barry,Outreach
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Fallah,241,Maguama CHP,Fixed
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Gbanahun,276,Maguama CHP,Fixed
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Gibina,476,Gibina Court Barry,Outreach
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Kenyema 1,163,Kenyema Court Barry,Outreach
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Kenyema 2,114,Kenyema Court Barry,Outreach
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Kenyema 3,116,Kenyema Court Barry,Outreach
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Kpatema,502,Maguama CHP,Fixed
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Maguama,1172,Maguama CHP,Fixed
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Mokasse,213,Maguama CHP,Fixed
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Nyamaina 1,205,Gibina Court Barry,Outreach
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Nyamaina 3,118,Gibina Court Barry,Outreach
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Nyamaina2,106,Gibina Court Barry,Outreach
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Vengema 3,103,Kenyema Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Bayama,200,Manjama CHC,Fixed
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Fullawahun,1800,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Gandohun,404,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Gbanahun,1300,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Kpetema,716,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Kumbablahun,325,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Levuma,300,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Manjama,500,Manjama CHC,Fixed
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Mbaoma,95,Manjama CHC,Fixed
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Patama,200,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Pendegumahun,907,Manjama CHC,Fixed
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Vaama,305,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Walihun,210,Fullawahun Court Barry,Outreach
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Back Of Staduim,153,Kpawula Court Barry,Outreach
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Dandabu,350,M.M.Maternity Mcp,Fixed
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Fonnie Town,1120,M.M.Maternity Mcp,Fixed
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Giema,300,M.M.Maternity Mcp,Fixed
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Kanga,390,M.M.Maternity Mcp,Fixed
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Kpawula,313,Kpawula Court Barry,Outreach
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Niagorehun 1,1100,M.M.Maternity Mcp,Fixed
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Niagorehun 2,1300,M.M.Maternity Mcp,Fixed
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Nyanda Town,349,Kpawula Court Barry,Outreach
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Railway Line,200,M.M.Maternity Mcp,Fixed
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Sheriff Town,1200,M.M.Maternity Mcp,Fixed
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Falaba,700,Ndegbomie MCHP,Fixed
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Gbeworbu,600,Ndegbomie MCHP,Fixed
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Gbongboma,500,Ndegbomie MCHP,Fixed
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Geoma 2 Section,1385,Bo Children Hospital,Outreach
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Jorma1,600,Jorma 2 Court Barry,Outreach
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Kebbie Town,2040,Ndegbomie MCHP,Fixed
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Komendeh,1203,Bo Children Hospital,Outreach
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Lumbebu,500,Jorma 2 Court Barry,Outreach
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Manihun,300,Jorma 2 Court Barry,Outreach
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Mbeima,250,Jorma 2 Court Barry,Outreach
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Mbema,800,Bo Children Hospital,Outreach
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Part Of Jorma 2,400,Jorma 2 Court Barry,Outreach
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Sembekeh,652,Bo Children Hospital,Outreach
Bo District,Kakua Chiefdom,Nduvuibu MCHP,MCHP,,,,
Bo District,Kakua Chiefdom,United Methodist Church Manjama CHC,CHC,,,,
Bo District,Kakua Chiefdom,Veronical MCHP,MCHP,,,,
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Banyamahun,250,Gumahun MCHP,Fixed
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Foya,112,Korkortie Court Barry,Outreach
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Gumahun,520,Gumahun MCHP,Fixed
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Korkortie,260,Korkortie Court Barry,Outreach
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Manyama,119,Korkortie Court Barry,Outreach
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Poyama,206,Korkortie Court Barry,Outreach
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Bendellu,400,Bendellu Court Barry,Mobile
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Bendu,150,Komboya Gbauja MCHP,Fixed
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Fullawahun,151,Bendellu Court Barry,Mobile
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Gbeworbu,249,Komboya Gbauja MCHP,Fixed
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Keinjama,123,Bendellu Court Barry,Mobile
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Komboya Gbauja,599,Komboya Gbauja MCHP,Fixed
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Ngiewabu,200,Komboya Gbauja MCHP,Fixed
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Semabu,250,Komboya Gbauja MCHP,Fixed
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Yendehun,670,Yendehun Court Barry,Mobile
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Foindu,50,Kpamajama MCHP,Fixed
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Keituma,84,Mageibu Court Barry,Outreach
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Kpamajama,360,Kpamajama MCHP,Fixed
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Logbana,35,Mageibu Court Barry,Outreach
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Mageibu,200,Mageibu Court Barry,Outreach
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Nduya,150,Mageibu Court Barry,Outreach
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Ngulubu,30,Mageibu Court Barry,Outreach
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Norgonba,63,Kpamajama MCHP,Fixed
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Sengbehun,189,Kpamajama MCHP,Fixed
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Songaru,160,Kpamajama MCHP,Fixed
Bo District,Komboya Chiefdom,Mano (Komboya) MCHP,MCHP,,,,
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Bandujuma,134,Pelewahun Court Barry,Outreach
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Gbaama,279,Niagorehun (Komboya) MCHP,Fixed
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Kundorma,527,Kundorma Court Barrie,Outreach
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Ngeikohun,269,Niagorehun (Komboya) MCHP,Fixed
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Niagorehun (Komboya),833,Niagorehun (Komboya) MCHP,Fixed
