district,chiefdom,phu,facility_type,community,population_2023,dp_name,dp_type
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Lowumi,37,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Matama,268,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Ngeyawami,253,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Ngiehun,100,Kwellu Court Barry,Outreach
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Njama,60,Kwellu Court Barry,Outreach
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Paliama 1,164,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Potolu,230,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Pujehun,75,Kwellu Court Barry,Outreach
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Tobada,418,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Golela,219,Golela Court Barry,Outreach
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Gollu,659,Gollu MCHP,Fixed
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Konnia,880,Gollu MCHP,Fixed
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Lungi,162,Golela Court Barry,Outreach
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Nongoba,288,Golela Court Barry,Outreach
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Palima 2,204,Gollu MCHP,Fixed
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Gendema,930,Gendema Court Barry,Outreach
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Jembe,3316,Jembe CHC,Fixed
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Kenyema,441,Jembe CHC,Fixed
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Komolu,317,Jembe CHC,Fixed
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Massao,162,Jembe CHC,Fixed
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Mossamai,33,Gendema Court Barry,Outreach
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Ngelahun,408,Gendema Court Barry,Outreach
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Niama,1032,Gendema Court Barry,Outreach
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Feiba,265,Ngualu Court Barry,Outreach
