district,chiefdom,phu,facility_type,community,population_2023
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Momado,200
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Kortulablama,504
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Tengbeleh,410
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Yengelleh,321
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mokabay1,109
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mokabay2,254
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Ngeiyahun,191
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Jujuhun,325
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Ngolawoma,543
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Tamuma,508
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mosagbahun,321
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Modambie,296
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Niagorehun,114
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Moway,309
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Sembehun,215
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Fola,203
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Niagorehun CHP,2607
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Mandehun,500
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Levuma,100
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Kpetewoma,500
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Limba,800
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Mandu1,315
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Bandajuma,340
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Senehun Ngola,438
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Kanga,542
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Yeinkein,724
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Daballa,438
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Gbangaya,562
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Faabu,422
Bo District,Bo City,Aethel CHP,CHP,,
Bo District,Bo City,Agape Way CHP,CHP,Kenediye Section,4500
Bo District,Bo City,Agape Way CHP,CHP,Bagbo Hill,1178
Bo District,Bo City,Agape Way CHP,CHP,Part of Sewa Road,2000
Bo District,Bo City,Agape Way CHP,CHP,Johnny Street,1342
Bo District,Bo City,Agape Way CHP,CHP,Manjama,2072
Bo District,Bo City,Agape Way CHP,CHP,Shelmingo Junction,936
Bo District,Bo City,Agape Way CHP,CHP,Part of Abu Street,953
Bo District,Bo City,Agape Way CHP,CHP,Sammie 2,905
Bo District,Bo City,Agape Way CHP,CHP,Part of Kallon Street,646
Bo District,Bo City,Agape Way CHP,CHP,Johnny Layout,3002
Bo District,Bo City,Batiama Layout MCHP,MCHP,Batiama Section,848
Bo District,Bo City,Batiama Layout MCHP,MCHP,Moibawo farm,240
Bo District,Bo City,Batiama Layout MCHP,MCHP,Gogoima,394
Bo District,Bo City,Batiama Layout MCHP,MCHP,Gondama Rd & Gondama,551
Bo District,Bo City,Batiama Layout MCHP,MCHP,Kpakuya,238
Bo District,Bo City,Batiama Layout MCHP,MCHP,Fabaina,102
Bo District,Bo City,Batiama Layout MCHP,MCHP,Gangama,136
Bo District,Bo City,Batiama Layout MCHP,MCHP,Ngegboiya,274
Bo District,Bo City,Batiama Layout MCHP,MCHP,Teibo,220
Bo District,Bo City,Batiama Layout MCHP,MCHP,Amie street,205
Bo District,Bo City,Batiama Layout MCHP,MCHP,Tenneh st,167
Bo District,Bo City,Batiama Layout MCHP,MCHP,Mattu st,103
Bo District,Bo City,Batiama Layout MCHP,MCHP,C-Line,187
Bo District,Bo City,Batiama Layout MCHP,MCHP,Katimu st,221
Bo District,Bo City,Batiama Layout MCHP,MCHP,Ngalu road,214
Bo District,Bo City,Batiama Layout MCHP,MCHP,Swarray drive,106
Bo District,Bo City,Batiama Layout MCHP,MCHP,Kallon st,193
Bo District,Bo City,Batiama Layout MCHP,MCHP,Borbonkorboh Section,196
Bo District,Bo City,Batiama Layout MCHP,MCHP,Yokie drive,167
Bo District,Bo City,Batiama Layout MCHP,MCHP,Amadu st,84
Bo District,Bo City,Bo School Bay CHP,CHP,,
Bo District,Bo City,Breakthrough MCHP,MCHP,,
Bo District,Bo City,Brima Town CHP,CHP,Brima Town,1500
